Lat	Long	CID-S	RSRP-S	CID-N1	CID-N2	CID-N3	CID-N4	CID-N5	CID-N6	RSRP-N1	RSRP-N2	RSRP-N3	RSRP-N4	RSRP-N5	RSRP-N6
33.574221	130.3712063	310	-105.625	269.0	268.0	82.0	32.0	85.0	46.0	-108.3125	-110.9375	-111.75	-113.625	-116.6875	-119.9375
33.574225	130.3712045	310	-106.125	269.0	268.0	32.0	82.0	85.0	46.0	-108.8125	-110.9375	-113.3125	-114.5	-115.75	-122.1875
33.5742659	130.3711864	310	-100.6875	269.0	82.0	163.0	268.0	46.0	32.0	-104.9375	-109.0625	-109.9375	-111.125	-112.1875	-112.9375
33.5742707	130.371184	310	-103.0625	82.0	269.0	268.0	32.0	163.0	46.0	-108.4375	-109.625	-110.25	-110.75	-111.4375	-115.4375
33.5742758	130.3711811	310	-101.3125	276.0	82.0	269.0	268.0	163.0	46.0	-106.8125	-107.375	-108.0	-109.5	-110.0	-111.375
33.5742815	130.3711778	310	-101.9375	82.0	32.0	163.0	269.0	276.0	268.0	-105.9375	-108.3125	-110.4375	-110.5625	-110.625	-110.9375
33.5742867	130.3711748	310	-103.3125	82.0	269.0	32.0	163.0	268.0	276.0	-107.5	-108.5	-112.8125	-113.5625	-113.75	-117.3125
33.5742963	130.3711688	310	-104.0	32.0	269.0	85.0	82.0	268.0	163.0	-108.375	-109.4375	-111.0	-112.5625	-112.9375	-114.5625
33.5742995	130.3711656	310	-105.0	269.0	32.0	85.0	82.0	268.0	276.0	-108.9375	-109.6875	-110.6875	-111.5625	-113.6875	-115.125
33.5743012	130.3711639	310	-105.0	269.0	32.0	85.0	82.0	268.0	276.0	-108.5	-109.8125	-110.4375	-110.9375	-114.375	-115.6875
33.5743029	130.3711622	310	-104.5	82.0	269.0	268.0	32.0	276.0	85.0	-108.9375	-110.375	-112.25	-112.625	-112.9375	-113.9375
33.5743061	130.371159	310	-104.1875	82.0	269.0	32.0	85.0	268.0	276.0	-109.3125	-111.1875	-111.3125	-113.875	-114.1875	-117.5
33.5743175	130.37115	310	-105.9375	269.0	32.0	82.0	268.0	85.0	276.0	-109.3125	-109.9375	-110.375	-114.6875	-119.25	-120.625
33.574322	130.371147	310	-104.875	82.0	32.0	269.0	276.0	268.0	85.0	-109.0	-111.25	-113.125	-115.4375	-116.1875	-118.1875
33.5743265	130.371144	310	-106.125	32.0	82.0	269.0	276.0	85.0	268.0	-109.875	-110.5	-110.75	-116.375	-116.625	-117.625
33.5743311	130.3711409	310	-106.1875	269.0	32.0	82.0	276.0	268.0	85.0	-108.9375	-111.8125	-112.125	-115.3125	-116.9375	-118.25
33.5743359	130.3711359	310	-106.125	269.0	32.0	82.0	268.0	276.0	85.0	-107.0	-109.3125	-110.625	-114.8125	-115.8125	-118.4375
33.5743463	130.371122	310	-104.75	268.0	269.0	32.0	82.0	276.0		-110.375	-110.375	-111.1875	-112.0625	-115.625	
33.5743666	130.371095	310	-107.3125	269.0	82.0	268.0	32.0	276.0		-106.625	-108.625	-111.8125	-112.3125	-113.875	
33.5743688	130.371092	310	-106.5	82.0	269.0	32.0	276.0	268.0		-106.4375	-108.3125	-110.3125	-111.625	-113.125	
33.5743718	130.3710881	310	-106.0	82.0	269.0	32.0	276.0	268.0		-107.3125	-107.5	-108.875	-112.375	-113.0	
33.5743762	130.3710821	310	-107.8125	269.0	82.0	32.0	276.0	268.0		-108.1875	-109.0	-111.25	-113.125	-114.625	
33.5743884	130.3710659	310	-107.1875	269.0	32.0	82.0	268.0	85.0	276.0	-105.75	-108.75	-109.375	-109.375	-115.75	-116.875
33.5744012	130.3710488	310	-101.125	269.0	268.0	32.0	276.0	82.0	85.0	-103.875	-107.1875	-108.875	-109.875	-112.0625	-112.125
33.5744035	130.371048	310	-102.0625	269.0	268.0	82.0	32.0	309.0	85.0	-105.8125	-108.5	-110.875	-111.625	-112.0625	-113.125
33.5744062	130.371048	310	-102.4375	269.0	268.0	82.0	85.0	32.0	309.0	-106.25	-110.375	-111.1875	-111.75	-112.125	-113.9375
33.5744092	130.371048	310	-102.3125	269.0	163.0	82.0	32.0	268.0	309.0	-104.8125	-106.875	-110.0625	-110.5625	-110.875	-115.0
33.5744122	130.371048	310	-104.4375	269.0	82.0	32.0	268.0	163.0	309.0	-105.5	-108.25	-108.9375	-109.0625	-109.5625	-114.0
33.5744183	130.3710468	310	-103.1875	269.0	32.0	82.0	268.0	163.0	309.0	-104.0	-109.0625	-109.125	-110.75	-113.0	-113.9375
33.5744217	130.3710434	310	-103.625	269.0	82.0	163.0	32.0	268.0	276.0	-105.1875	-108.6875	-109.0625	-110.0625	-110.375	-111.75
33.5744407	130.371028	310	-103.8125	269.0	32.0	82.0	268.0	163.0	276.0	-107.125	-108.125	-108.875	-110.5	-111.5625	-114.375
33.5744457	130.3710251	310	-105.5625	269.0	82.0	309.0	32.0	268.0	163.0	-105.125	-108.5	-108.625	-111.1875	-111.9375	-113.25
33.5744565	130.3710189	310	-106.25	269.0	82.0	268.0	309.0	83.0	32.0	-102.5625	-106.1875	-106.625	-111.75	-112.125	-112.375
33.5744587	130.3710177	310	-106.4375	269.0	82.0	268.0	83.0	309.0	276.0	-101.9375	-105.875	-107.8125	-110.6875	-111.6875	-112.5625
33.574461	130.3710164	310	-106.375	269.0	82.0	268.0	83.0	309.0	32.0	-100.875	-106.75	-109.125	-110.6875	-112.4375	-113.0
33.5744631	130.3710152	310	-106.625	269.0	82.0	83.0	268.0	309.0	32.0	-100.8125	-107.875	-110.4375	-111.125	-112.4375	-114.0625
33.5744646	130.3710143	310	-106.75	269.0	82.0	83.0	268.0	309.0	32.0	-101.875	-107.6875	-110.1875	-111.25	-112.5	-114.5
33.5744773	130.3710071	310	-107.0625	269.0	82.0	268.0	83.0	163.0		-102.0	-108.5625	-110.625	-112.8125	-113.3125	
33.5744851	130.3710026	310	-105.125	269.0	82.0	83.0	163.0	268.0		-103.5	-108.5625	-110.1875	-110.5	-112.3125	
33.5744911	130.3710022	310	-106.0625	269.0	82.0	83.0	268.0	163.0		-98.75	-107.6875	-109.4375	-110.0625	-110.375	
33.5744976	130.3710022	310	-107.4375	269.0	268.0	163.0	82.0	83.0		-100.1875	-109.1875	-109.875	-110.375	-111.625	
33.5744976	130.3710022	310	-106.75	269.0	309.0	163.0	268.0	82.0	83.0	-100.625	-108.0	-108.9375	-109.1875	-110.0625	-113.125
33.5745073	130.3710022	269	-101.125	82.0	163.0	310.0	309.0	268.0	204.0	-104.9375	-105.4375	-105.875	-107.125	-109.75	-113.875
33.5745126	130.3710021	269	-100.4375	163.0	310.0	82.0	309.0	268.0	204.0	-104.125	-104.625	-104.6875	-106.125	-108.5625	-112.1875
33.5745197	130.370999	269	-98.375	309.0	310.0	268.0	82.0	163.0	204.0	-102.25	-104.3125	-105.5625	-106.8125	-108.5625	-112.1875
33.5745261	130.3709961	269	-98.125	309.0	310.0	163.0	82.0	268.0	204.0	-99.375	-105.5	-107.6875	-108.3125	-110.5625	-111.1875
33.5745328	130.3709932	269	-97.75	309.0	310.0	268.0	163.0	204.0	82.0	-102.625	-105.0	-106.125	-107.5625	-110.125	-110.875
33.5745622	130.3709792	269	-94.6875	268.0	204.0	163.0	310.0	309.0	82.0	-96.375	-104.8125	-105.4375	-105.5	-107.625	-108.4375
33.5745765	130.3709721	269	-94.0	310.0	309.0	268.0	82.0	163.0	204.0	-97.75	-102.0625	-102.125	-102.875	-103.6875	-105.1875
33.5745786	130.3709692	269	-94.5	310.0	309.0	163.0	82.0	268.0		-96.0	-99.8125	-99.9375	-102.125	-105.8125	
33.5745803	130.3709658	269	-95.3125	310.0	309.0	163.0	268.0	82.0		-95.625	-98.875	-102.875	-104.625	-105.0	
33.5745819	130.3709626	269	-95.25	310.0	309.0	163.0	268.0			-93.8125	-99.5	-100.75	-106.625		
33.5745849	130.3709564	269	-95.625	310.0	309.0	163.0	268.0			-95.625	-95.6875	-98.75	-102.875		
33.5745841	130.3709564	269	-96.125	309.0	310.0	163.0	268.0			-95.0625	-96.4375	-98.1875	-101.25		
33.5745817	130.3709564	269	-95.5625	310.0	309.0	163.0	268.0			-94.875	-97.0625	-97.875	-104.625		
33.5745814	130.3709564	269	-95.0625	310.0	309.0	163.0	378.0	268.0		-94.375	-96.1875	-100.9375	-104.6875	-105.375	
33.5745794	130.3709564	269	-95.1875	310.0	309.0	378.0	268.0	163.0		-97.5625	-100.75	-102.375	-103.5	-104.625	
33.5745781	130.3709564	269	-96.9375	310.0	309.0	163.0	268.0	378.0		-90.1875	-92.75	-98.375	-100.6875	-105.1875	
33.5745777	130.3709564	269	-97.375	310.0	309.0	163.0	268.0	378.0		-90.0	-92.375	-98.4375	-102.5625	-105.25	
33.5745773	130.3709564	310	-91.0	309.0	269.0	163.0	268.0	378.0		-90.75	-98.1875	-99.125	-102.5625	-105.0625	
33.5745773	130.3709564	310	-92.1875	309.0	163.0	268.0	269.0	378.0		-89.625	-98.8125	-101.6875	-104.4375	-104.625	
33.5745773	130.3709564	310	-92.3125	309.0	163.0	269.0	268.0	378.0		-88.25	-99.1875	-100.0625	-101.0625	-106.0	
33.5745773	130.3709564	309	-86.9375	310.0	163.0	269.0	268.0			-91.75	-98.1875	-99.25	-101.375		
33.5745783	130.3709545	309	-87.9375	310.0	163.0	268.0	269.0			-91.5625	-96.125	-100.125	-104.1875		
33.5745805	130.37095	309	-89.0625	310.0	163.0	268.0	269.0			-92.0625	-95.8125	-100.0	-102.0		
33.5745865	130.3709412	309	-88.1875	269.0	310.0	163.0	268.0			-94.5	-94.5625	-95.3125	-100.0		
33.5745877	130.3709412	309	-88.125	163.0	310.0	269.0	268.0			-94.9375	-95.1875	-99.9375	-103.6875		
33.5745907	130.3709412	309	-87.4375	163.0	269.0	310.0	268.0			-94.0625	-94.625	-94.75	-103.3125		
33.5745922	130.3709412	309	-87.5	163.0	310.0	269.0	268.0			-93.0625	-95.0625	-97.875	-101.75		
33.5745943	130.3709412	309	-88.5	163.0	269.0	310.0	268.0			-94.5	-97.6875	-98.0625	-105.25		
33.5745966	130.3709412	309	-87.9375	163.0	269.0	310.0	268.0			-92.6875	-94.875	-99.25	-102.6875		
33.5745987	130.3709412	309	-87.8125	163.0	269.0	310.0	268.0			-90.9375	-96.625	-99.1875	-106.5		
33.5746078	130.3709412	309	-89.125	163.0	269.0	310.0	268.0			-94.25	-95.0625	-97.0625	-103.0		
33.5746081	130.3709412	309	-89.875	163.0	310.0	269.0	268.0			-94.5625	-96.5	-97.375	-104.0625		
33.5746095	130.3709412	309	-90.625	269.0	163.0	310.0	268.0			-92.875	-96.0	-96.875	-102.375		
33.5746109	130.3709412	309	-90.9375	269.0	163.0	310.0	268.0			-93.625	-97.1875	-99.9375	-100.6875		
33.5746129	130.3709395	309	-90.9375	310.0	163.0	269.0	268.0			-96.375	-97.1875	-102.1875	-104.5		
33.5746176	130.3709332	309	-91.0	269.0	310.0	163.0	268.0			-94.5	-96.75	-101.0	-106.9375		
33.57462	130.3709301	309	-90.4375	310.0	269.0	163.0	268.0			-95.9375	-100.5625	-101.9375	-104.5625		
